,Predicted
0,70.36666
1,70.01025
2,70.93251
3,70.71451
4,70.50246
5,70.79562
6,70.68743
7,70.77407
8,71.62153
9,72.51257
10,71.88234
11,71.39332
12,71.473274
13,72.14399
14,71.96786
15,72.54379
16,72.500244
17,72.84208
18,72.78744
19,72.81197
20,73.207596
21,73.22985
22,72.757225
23,72.34548
24,72.13458
25,71.15872
26,71.24748
27,71.62055
28,71.618095
29,72.19905
30,72.53577
31,72.24069
32,72.136246
33,73.45777
34,73.60557
35,74.04314
36,74.10881
37,74.01842
38,74.73862
39,75.21598
40,75.24998
41,75.1475
42,75.3433
43,75.38513
44,76.27273
45,76.59821
46,76.495544
47,76.19692
48,76.655685
49,81.78906
50,81.06055
51,80.76065
52,80.536835
53,81.10266
54,81.262474
55,81.60264
56,81.42836
57,81.51364
58,80.96449
59,80.93735
60,80.98797
61,80.89123
62,80.82444
63,80.88142
64,80.26678
65,80.217094
66,81.26049
67,80.98928
68,80.86114
69,81.448105
70,82.286446
71,81.46315
72,81.66164
73,81.632996
74,79.69376
75,79.646866
76,80.40885
77,80.152916
78,81.712265
79,82.49321
80,83.06781
81,83.00106
82,82.500595
83,83.66758
84,84.0287
85,83.20067
86,82.84669
87,83.22125
88,82.837074
89,82.8493
90,83.08197
91,83.170494
92,83.18428
93,83.36097
94,83.74845
95,84.57644
96,85.34389
97,85.442444
98,85.53212
99,85.02742
100,85.11513
101,86.420654
102,86.44514
103,86.92453
104,87.35225
105,87.08952
106,88.04719
107,88.73111
108,89.09476
109,89.27504
110,90.13877
111,90.66824
112,89.61919
113,90.818344
114,91.44042
115,89.19587
116,87.57246
117,85.993034
118,87.41607
119,84.53293
120,83.983086
121,86.12413
122,86.301765
123,87.40908
124,89.18762
125,89.66398
126,89.637344
127,89.73102
128,89.21596
129,90.442085
130,91.86713
131,91.84292
132,91.48287
133,89.97527
134,89.298256
135,90.43666
136,90.5082
137,90.38438
138,91.341545
139,92.69804
140,93.283165
141,91.98112
142,91.23109
143,90.95171
144,91.42136
145,89.9477
146,90.385704
147,90.038864
148,87.979294
149,86.38695
150,89.74344
151,89.17426
152,87.360054
153,87.87319
154,86.22807
155,86.678955
156,87.88595
157,89.51274
158,88.13349
159,89.01496
160,89.710106
161,89.4063
162,90.523056
163,90.23221
164,91.06974
165,92.71875
166,92.93817
167,92.753975
168,91.78782
169,92.189285
170,90.85443
171,89.03381
172,91.30655
173,92.40119
174,91.251236
175,91.11409
176,90.96403
177,90.68324
178,91.57858
179,92.841774
180,92.36403
181,92.926994
182,94.06154
183,93.9788
184,94.47693
185,93.5311
186,93.94061
187,93.54943
188,93.48618
189,94.354416
190,94.42303
191,94.6647
192,94.72952
193,95.16022
194,94.69226
195,95.3575
196,95.70415
197,96.72454
198,97.66245
199,98.13587
200,98.39137
201,97.450424
202,97.58876
203,97.39547
204,97.43116
205,97.44656
206,97.67674
207,96.96432
208,96.97684
209,96.73124
210,97.99727
211,97.64456
212,96.63071
213,95.15105
214,95.93805
215,95.30192
216,95.02515
217,95.66161
218,95.795906
219,96.16316
220,96.10386
221,97.16779
222,97.85623
223,98.24524
224,98.05345
225,99.608536
226,100.57826
227,100.64036
228,101.07576
229,100.6676
230,100.19664
231,102.1413
232,102.65529
233,102.8497
234,104.189995
235,104.51452
236,102.89592
237,101.09131
238,101.47442
239,101.42279
240,102.177025
241,102.63016
242,103.00099
243,103.56093
244,103.96263
245,104.4364
246,103.85909
247,103.46375
248,103.91706
249,102.9405
250,103.23076
251,102.72364
252,102.477554
253,102.12203
254,102.21249
255,103.05481
256,103.470215
257,104.25093
258,104.984985
259,106.06783
260,106.42043
261,106.54066
262,105.92587
263,104.07325
264,103.58756
265,103.45245
266,104.202644
267,105.51009
268,105.91213
269,107.07695
270,107.35433
271,106.8347
272,107.36168
273,106.227615
274,107.45893
275,108.04168
276,108.02004
277,108.18306
278,108.2168
279,108.343315
280,108.09681
281,108.97676
282,108.87889
283,109.06391
284,107.04472
285,106.41302
286,105.46359
287,106.56128
288,103.41884
289,102.36751
290,103.83157
291,103.42903
292,105.18796
293,105.25556
294,103.9474
295,104.29705
296,104.52563
297,102.51241
298,100.7463
299,103.30487
300,102.231834
301,100.91393
302,98.87511
303,102.62535
304,101.830025
305,101.68774
306,102.32968
307,102.94899
308,105.9859
309,105.98985
310,104.57431
311,102.690834
312,102.940186
313,101.832695
314,102.25519
315,103.659035
316,101.22822
317,98.43269
318,100.01771
319,99.746994
320,101.82816
321,102.587204
322,105.14773
323,105.371544
324,105.52959
325,106.76366
326,105.25275
327,103.10667
328,102.21434
329,102.100975
330,104.61438
331,105.36233
332,104.73632
333,102.95243
334,99.98151
335,100.09591
336,100.68058
337,98.36935
338,96.72716
339,93.43515
340,95.28272
341,96.09697
342,97.82319
343,98.26771
344,97.683365
345,95.65469
346,98.3524
347,99.01755
348,99.4068
349,100.58538
350,99.81945
351,99.11005
352,98.75261
353,100.83893
354,101.61895
355,101.81271
356,103.04993
357,102.012024
358,102.28267
359,102.09596
360,103.02379
361,101.327095
362,99.706985
363,101.70418
364,100.71934
365,99.72563
366,101.32848
367,102.76085
368,102.13533
369,101.283195
370,101.326614
371,101.645035
372,102.62021
373,102.96043
374,102.58174
375,103.584785
